1,1,9.99000999000999E-4,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
11,1,0.01098901098901099,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
11,2,0.01098901098901099,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
12,1,0.011988011988011988,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
12,2,0.011988011988011988,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
13,1,0.012987012987012988,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
13,2,0.012987012987012988,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
14,1,0.013986013986013986,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
14,2,0.013986013986013986,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
15,1,0.014985014985014986,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
15,2,0.014985014985014986,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
16,1,0.015984015984015984,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
16,2,0.015984015984015984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
17,1,0.016983016983016984,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
17,2,0.016983016983016984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
18,1,0.017982017982017984,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
18,2,0.017982017982017984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
19,1,0.01898101898101898,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
19,2,0.01898101898101898,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
20,1,0.01998001998001998,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
20,2,0.01998001998001998,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
21,1,0.02097902097902098,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
21,2,0.02097902097902098,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
22,1,0.02197802197802198,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
22,2,0.02197802197802198,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
23,1,0.022977022977022976,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
23,2,0.022977022977022976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
24,1,0.023976023976023976,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
24,2,0.023976023976023976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
25,1,0.024975024975024976,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
25,2,0.024975024975024976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
26,1,0.025974025974025976,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
26,2,0.025974025974025976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
27,1,0.026973026973026972,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
27,2,0.026973026973026972,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
28,1,0.027972027972027972,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
28,2,0.027972027972027972,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
29,1,0.028971028971028972,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
29,2,0.028971028971028972,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
30,1,0.029970029970029972,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
30,2,0.029970029970029972,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
31,1,0.030969030969030968,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
31,2,0.030969030969030968,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
32,1,0.03196803196803197,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
32,2,0.03196803196803197,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
33,1,0.03296703296703297,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
33,2,0.03296703296703297,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
34,1,0.03396603396603397,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
34,2,0.03396603396603397,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
35,1,0.03496503496503497,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
35,2,0.03496503496503497,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
36,1,0.03596403596403597,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
36,2,0.03596403596403597,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
37,1,0.03696303696303696,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
37,2,0.03696303696303696,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
38,1,0.03796203796203796,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
