1,1,9.99000999000999E-4,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
6,2,0.005994005994005994,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h3])
7,1,0.006993006993006993,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
7,2,0.006993006993006993,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f2, g: g3, h: h1])
8,1,0.007992007992007992,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
8,2,0.007992007992007992,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e3, f: f1, g: g3, h: h2])
9,1,0.008991008991008992,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
9,2,0.008991008991008992,SENGOKU@21,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d1, e: e2, f: f1, g: g3, h: h1])
10,1,0.00999000999000999,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
10,2,0.00999000999000999,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f2, g: g1, h: h3])
11,1,0.01098901098901099,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
11,2,0.01098901098901099,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e2, f: f1, g: g1, h: h1])
12,1,0.011988011988011988,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
12,2,0.011988011988011988,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g2, h: h2])
13,1,0.012987012987012988,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
13,2,0.012987012987012988,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f3, g: g3, h: h1])
14,1,0.013986013986013986,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
14,2,0.013986013986013986,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g3, h: h1])
15,1,0.014985014985014986,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
15,2,0.014985014985014986,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h2])
16,1,0.015984015984015984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
16,2,0.015984015984015984,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e1, f: f2, g: g1, h: h1])
17,1,0.016983016983016984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
17,2,0.016983016983016984,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e2, f: f1, g: g3, h: h2])
18,1,0.017982017982017984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
18,2,0.017982017982017984,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g3, h: h3])
19,1,0.01898101898101898,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
19,2,0.01898101898101898,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e2, f: f1, g: g3, h: h1])
20,1,0.01998001998001998,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
20,2,0.01998001998001998,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h2])
21,1,0.02097902097902098,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
21,2,0.02097902097902098,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g3, h: h1])
22,1,0.02197802197802198,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
22,2,0.02197802197802198,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f2, g: g1, h: h1])
23,1,0.022977022977022976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
23,2,0.022977022977022976,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h2])
24,1,0.023976023976023976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
24,2,0.023976023976023976,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e3, f: f2, g: g1, h: h1])
25,1,0.024975024975024976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
25,2,0.024975024975024976,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e1, f: f2, g: g1, h: h2])
26,1,0.025974025974025976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
26,2,0.025974025974025976,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
27,1,0.026973026973026972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
27,2,0.026973026973026972,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h2])
28,1,0.027972027972027972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
28,2,0.027972027972027972,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e1, f: f1, g: g1, h: h1])
29,1,0.028971028971028972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
29,2,0.028971028971028972,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f3, g: g1, h: h3])
30,1,0.029970029970029972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
30,2,0.029970029970029972,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g2, h: h3])
31,1,0.030969030969030968,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
31,2,0.030969030969030968,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e1, f: f1, g: g1, h: h1])
32,1,0.03196803196803197,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
32,2,0.03196803196803197,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h2])
33,1,0.03296703296703297,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
33,2,0.03296703296703297,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e1, f: f1, g: g1, h: h1])
34,1,0.03396603396603397,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
34,2,0.03396603396603397,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f2, g: g1, h: h1])
35,1,0.03496503496503497,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
35,2,0.03496503496503497,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f3, g: g1, h: h2])
36,1,0.03596403596403597,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
36,2,0.03596403596403597,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g1, h: h2])
37,1,0.03696303696303696,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
37,2,0.03696303696303696,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f3, g: g1, h: h2])
38,1,0.03796203796203796,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
38,2,0.03796203796203796,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2, e: e2, f: f1, g: g3, h: h2])
39,1,0.03896103896103896,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
39,2,0.03896103896103896,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h1])
40,1,0.03996003996003996,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
40,2,0.03996003996003996,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d3, e: e1, f: f1, g: g1, h: h2])
41,1,0.04095904095904096,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
41,2,0.04095904095904096,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e2, f: f1, g: g1, h: h1])
42,1,0.04195804195804196,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@20,(Offer  bid:Bid[a: a3, b: b1, c: c1, d: d3, e: e3, f: f3, g: g3, h: h3])
42,2,0.04195804195804196,SENGOKU@21,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d1, e: e1, f: f1, g: g1, h: h1])
