1,1,9.99000999000999E-4,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
6,2,0.005994005994005994,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
7,1,0.006993006993006993,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
7,2,0.006993006993006993,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
8,1,0.007992007992007992,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
8,2,0.007992007992007992,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
9,1,0.008991008991008992,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
9,2,0.008991008991008992,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
10,1,0.00999000999000999,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
10,2,0.00999000999000999,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
11,1,0.01098901098901099,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
11,2,0.01098901098901099,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
12,1,0.011988011988011988,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
12,2,0.011988011988011988,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
13,1,0.012987012987012988,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
13,2,0.012987012987012988,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
14,1,0.013986013986013986,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
14,2,0.013986013986013986,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
15,1,0.014985014985014986,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
15,2,0.014985014985014986,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
16,1,0.015984015984015984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
16,2,0.015984015984015984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
17,1,0.016983016983016984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
17,2,0.016983016983016984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
18,1,0.017982017982017984,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
18,2,0.017982017982017984,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
19,1,0.01898101898101898,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
19,2,0.01898101898101898,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
20,1,0.01998001998001998,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
20,2,0.01998001998001998,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
21,1,0.02097902097902098,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
21,2,0.02097902097902098,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
22,1,0.02197802197802198,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
22,2,0.02197802197802198,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
23,1,0.022977022977022976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
23,2,0.022977022977022976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
24,1,0.023976023976023976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
24,2,0.023976023976023976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
25,1,0.024975024975024976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
25,2,0.024975024975024976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
26,1,0.025974025974025976,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
26,2,0.025974025974025976,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
27,1,0.026973026973026972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
27,2,0.026973026973026972,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@1,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Room, Invitations: Plain, Music: DJ, Cleanup: Special Equiment])
28,1,0.027972027972027972,boa-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.shimizutakumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Non-Alcoholic, Location: Party Tent, Invitations: Plain, Music: Band, Cleanup: Hired Help])
