1,1,9.99000999000999E-4,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
11,1,0.01098901098901099,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
11,2,0.01098901098901099,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
12,1,0.011988011988011988,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
12,2,0.011988011988011988,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
13,1,0.012987012987012988,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
13,2,0.012987012987012988,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
14,1,0.013986013986013986,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
14,2,0.013986013986013986,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
15,1,0.014985014985014986,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
15,2,0.014985014985014986,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
16,1,0.015984015984015984,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
16,2,0.015984015984015984,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
17,1,0.016983016983016984,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
17,2,0.016983016983016984,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
18,1,0.017982017982017984,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
18,2,0.017982017982017984,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
19,1,0.01898101898101898,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
19,2,0.01898101898101898,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Doughnuts, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
20,1,0.01998001998001998,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
20,2,0.01998001998001998,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
21,1,0.02097902097902098,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
21,2,0.02097902097902098,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
22,1,0.02197802197802198,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
22,2,0.02197802197802198,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
23,1,0.022977022977022976,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
23,2,0.022977022977022976,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Doughnuts, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
24,1,0.023976023976023976,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
24,2,0.023976023976023976,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
25,1,0.024975024975024976,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
25,2,0.024975024975024976,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
26,1,0.025974025974025976,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
26,2,0.025974025974025976,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
27,1,0.026973026973026972,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
27,2,0.026973026973026972,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Cookies, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
28,1,0.027972027972027972,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
28,2,0.027972027972027972,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
29,1,0.028971028971028972,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
29,2,0.028971028971028972,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
30,1,0.029970029970029972,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
30,2,0.029970029970029972,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
31,1,0.030969030969030968,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
31,2,0.030969030969030968,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
32,1,0.03196803196803197,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
32,2,0.03196803196803197,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
33,1,0.03296703296703297,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
33,2,0.03296703296703297,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
34,1,0.03396603396603397,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
34,2,0.03396603396603397,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
35,1,0.03496503496503497,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
35,2,0.03496503496503497,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Salami, Vegetables: Beans, Drinks: Energy Drinks])
36,1,0.03596403596403597,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
36,2,0.03596403596403597,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
37,1,0.03696303696303696,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
37,2,0.03696303696303696,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Nachos, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
38,1,0.03796203796203796,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
38,2,0.03796203796203796,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Salami, Vegetables: Beans, Drinks: Energy Drinks])
39,1,0.03896103896103896,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
39,2,0.03896103896103896,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
40,1,0.03996003996003996,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
40,2,0.03996003996003996,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Candy, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
41,1,0.04095904095904096,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
41,2,0.04095904095904096,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Popcorn, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
42,1,0.04195804195804196,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
42,2,0.04195804195804196,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
43,1,0.04295704295704296,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
43,2,0.04295704295704296,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
44,1,0.04395604395604396,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
44,2,0.04395604395604396,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
45,1,0.04495504495504495,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
45,2,0.04495504495504495,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Nachos, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
46,1,0.04595404595404595,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
46,2,0.04595404595404595,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Nachos, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
47,1,0.04695304695304695,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
47,2,0.04695304695304695,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Egg Salad, Vegetables: Beans, Drinks: Energy Drinks])
48,1,0.04795204795204795,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
48,2,0.04795204795204795,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
49,1,0.04895104895104895,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
49,2,0.04895104895104895,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
50,1,0.04995004995004995,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
50,2,0.04995004995004995,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
51,1,0.05094905094905095,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
51,2,0.05094905094905095,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Candy, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
52,1,0.05194805194805195,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
52,2,0.05194805194805195,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Egg Salad, Vegetables: Beans, Drinks: Energy Drinks])
53,1,0.052947052947052944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
53,2,0.052947052947052944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Egg Salad, Vegetables: Beans, Drinks: Energy Drinks])
54,1,0.053946053946053944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
54,2,0.053946053946053944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Strawberries, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
55,1,0.054945054945054944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
55,2,0.054945054945054944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Egg Salad, Vegetables: Beans, Drinks: Energy Drinks])
56,1,0.055944055944055944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
56,2,0.055944055944055944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
57,1,0.056943056943056944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
57,2,0.056943056943056944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Cheese, Vegetables: Beans, Drinks: Energy Drinks])
58,1,0.057942057942057944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
58,2,0.057942057942057944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Strawberries, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
59,1,0.058941058941058944,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
59,2,0.058941058941058944,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
60,1,0.059940059940059943,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
60,2,0.059940059940059943,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Strawberries, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
61,1,0.060939060939060936,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
61,2,0.060939060939060936,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Doughnuts, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
62,1,0.061938061938061936,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
62,2,0.061938061938061936,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Doughnuts, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
63,1,0.06293706293706294,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
63,2,0.06293706293706294,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Strawberries, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
64,1,0.06393606393606394,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
64,2,0.06393606393606394,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
65,1,0.06493506493506493,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
65,2,0.06493506493506493,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Strawberries, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
66,1,0.06593406593406594,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
66,2,0.06593406593406594,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Potato Chips, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
67,1,0.06693306693306693,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
67,2,0.06693306693306693,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Chocolate bars, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
68,1,0.06793206793206794,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
68,2,0.06793206793206794,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Popcorn, Spreads: Jam, Vegetables: Beans, Drinks: Energy Drinks])
69,1,0.06893106893106893,shimizu_agent@2,(Offer  bid:Bid[Bread type: Baguette, Fruit: Pears, Snacks: Popcorn, Spreads: Peanut butter, Vegetables: Spinach, Drinks: Energy Drinks])
69,2,0.06893106893106893,Atlas3@3,(Offer  bid:Bid[Bread type: Plain bread, Fruit: Apples, Snacks: Popcorn, Spreads: Salami, Vegetables: Beans, Drinks: Energy Drinks])
