1,1,9.99000999000999E-4,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
18,1,0.017982017982017984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
18,2,0.017982017982017984,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
19,1,0.01898101898101898,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
19,2,0.01898101898101898,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
20,1,0.01998001998001998,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
20,2,0.01998001998001998,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
21,1,0.02097902097902098,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
21,2,0.02097902097902098,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
22,1,0.02197802197802198,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
22,2,0.02197802197802198,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
23,1,0.022977022977022976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
23,2,0.022977022977022976,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
24,1,0.023976023976023976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
24,2,0.023976023976023976,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
25,1,0.024975024975024976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
25,2,0.024975024975024976,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3])
26,1,0.025974025974025976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
26,2,0.025974025974025976,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
27,1,0.026973026973026972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
27,2,0.026973026973026972,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b4, c: c2, d: d2])
28,1,0.027972027972027972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
28,2,0.027972027972027972,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
29,1,0.028971028971028972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
29,2,0.028971028971028972,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
30,1,0.029970029970029972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
30,2,0.029970029970029972,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3])
31,1,0.030969030969030968,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
31,2,0.030969030969030968,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
32,1,0.03196803196803197,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
32,2,0.03196803196803197,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b4, c: c2, d: d2])
33,1,0.03296703296703297,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
33,2,0.03296703296703297,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
34,1,0.03396603396603397,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
34,2,0.03396603396603397,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
35,1,0.03496503496503497,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
35,2,0.03496503496503497,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d4])
36,1,0.03596403596403597,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
36,2,0.03596403596403597,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
37,1,0.03696303696303696,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
37,2,0.03696303696303696,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
38,1,0.03796203796203796,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
38,2,0.03796203796203796,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d3])
39,1,0.03896103896103896,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Offer  bid:Bid[a: a2, b: b3, c: c1, d: d4])
39,2,0.03896103896103896,PonPokoAgent@31,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
40,1,0.03996003996003996,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OS-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_AS_a_b-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OM_l-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.shimizu_OMS_t@30,(Accept  bid:Bid[a: a2, b: b2, c: c2, d: d2])
agreement,Bid[a: a2, b: b2, c: c2, d: d2],0.34092045607296906,0.9417179766896508
