1,1,9.99000999000999E-4,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
6,2,0.005994005994005994,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
7,1,0.006993006993006993,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
7,2,0.006993006993006993,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
8,1,0.007992007992007992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
8,2,0.007992007992007992,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
9,1,0.008991008991008992,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
9,2,0.008991008991008992,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f2, h: h2, i: i1, j: j1, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
10,1,0.00999000999000999,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
10,2,0.00999000999000999,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
11,1,0.01098901098901099,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
11,2,0.01098901098901099,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
12,1,0.011988011988011988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
12,2,0.011988011988011988,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e2, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
13,1,0.012987012987012988,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
13,2,0.012987012987012988,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
14,1,0.013986013986013986,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
14,2,0.013986013986013986,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
15,1,0.014985014985014986,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
15,2,0.014985014985014986,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
16,1,0.015984015984015984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
16,2,0.015984015984015984,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
17,1,0.016983016983016984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
17,2,0.016983016983016984,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
18,1,0.017982017982017984,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
18,2,0.017982017982017984,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
19,1,0.01898101898101898,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l1, m: m1, n: n1, o: o2, p: p1])
19,2,0.01898101898101898,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e2, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
20,1,0.01998001998001998,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
20,2,0.01998001998001998,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
21,1,0.02097902097902098,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
21,2,0.02097902097902098,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
22,1,0.02197802197802198,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
22,2,0.02197802197802198,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j2, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
23,1,0.022977022977022976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
23,2,0.022977022977022976,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
24,1,0.023976023976023976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
24,2,0.023976023976023976,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
25,1,0.024975024975024976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
25,2,0.024975024975024976,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j2, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
26,1,0.025974025974025976,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
26,2,0.025974025974025976,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j2, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
27,1,0.026973026973026972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
27,2,0.026973026973026972,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
28,1,0.027972027972027972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
28,2,0.027972027972027972,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g2, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o2, p: p2])
29,1,0.028971028971028972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
29,2,0.028971028971028972,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g2, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
30,1,0.029970029970029972,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
30,2,0.029970029970029972,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
31,1,0.030969030969030968,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
31,2,0.030969030969030968,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f2, h: h2, i: i1, j: j2, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
32,1,0.03196803196803197,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
32,2,0.03196803196803197,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
33,1,0.03296703296703297,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
33,2,0.03296703296703297,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k1, l: l2, m: m2, n: n1, o: o1, p: p2])
34,1,0.03396603396603397,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
34,2,0.03396603396603397,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d1, e: e2, g: g1, f: f1, h: h2, i: i1, j: j1, k: k1, l: l2, m: m1, n: n1, o: o2, p: p2])
35,1,0.03496503496503497,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
35,2,0.03496503496503497,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f1, h: h2, i: i1, j: j1, k: k2, l: l2, m: m2, n: n1, o: o1, p: p2])
36,1,0.03596403596403597,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
36,2,0.03596403596403597,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
37,1,0.03696303696303696,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
37,2,0.03696303696303696,kawaii@1,(Offer  bid:Bid[a: a2, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h2, i: i1, j: j1, k: k2, l: l2, m: m1, n: n1, o: o2, p: p2])
38,1,0.03796203796203796,boa-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.Offering4_max_k_e_min-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.NEXT-.Users.takumu.IdeaProjects.genius.out.production.test.KANAC.HHFM-negotiator.boaframework.omstrategy.BestBid_t@0,(Offer  bid:Bid[a: a1, b: b2, c: c2, d: d2, e: e2, g: g2, f: f1, h: h2, i: i2, j: j2, k: k1, l: l2, m: m1, n: n1, o: o2, p: p1])
38,2,0.03796203796203796,kawaii@1,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2, e: e1, g: g1, f: f2, h: h1, i: i1, j: j1, k: k1, l: l2, m: m2, n: n1, o: o2, p: p2])
